School Name,Location,School Year,Within District Boundary,Reported,Grade Levels,Total Enrollment,COMPLETE,EXEMPT,Medical Exemption,Personal Exemption,Religious Exemption,Religious Membership Exemption,Exempt DT,Exempt Pertussis,Exempt MMR,Exempt Polio,Exempt Hep B,Exempt Varicella,Location 1
TOPS K-8 SCHOOL,"2500 FRANKLIN AV E, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-8,470,87.4,8.3,3.2,6.4,0.4,0,2.6,2.3,3.6,2.6,4.7,6.4,"2500 FRANKLIN AV E
SEATTLE
(47.6425198, -122.324146)"
EXCEL PUBLIC CHARTER SCHOOL,"210 SOUTH HUDSON STREET, SEATTLE, WA",2016-17,CHARTER,Y,6-8,182,93.4,1.6,0.5,1.1,0,0,1.6,0,0,0.5,0,0.5,"210 SOUTH HUDSON STREET
SEATTLE
(47.557995, -122.331304)"
ARROWHEAD ELEMENTARY,"6725 NE ARROWHEAD DR, KENMORE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -6,425,93.2,5.9,0.5,5.4,0,0,2.4,2.4,4.5,3.8,3.8,4.5,"6725 NE ARROWHEAD DR
KENMORE
(47.737737, -122.251662)"
NORTHWEST MONTESSORI,"7400 25TH AVE NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-6,24,75,8.3,0,8.3,0,0,0,0,0,0,8.3,0,"7400 25TH AVE NE
SEATTLE
(47.6822474, -122.3003922)"
BERTSCHI SCHOOL,"2227 10TH AVE E, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-5,224,88.4,11.6,0.4,10.7,0,0.4,4,0.9,6.3,8.5,8.5,7.6,"2227 10TH AVE E
SEATTLE
(47.639247, -122.320449)"
CEDAR CREST ACADEMY - BELLEWOOD,"2125 122TH AVE NE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-2,133,99.2,0.8,0,0.8,0,0,0.8,0.8,0.8,0.8,0.8,0.8,"2125 122TH AVE NE
BELLEVUE
(47.643106, -122.178806)"
TALBOT HILL ELEMENTARY SCHOOL,"2300 TALBOT RD S, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,K -5,522,97.3,1.9,0.8,1,0,0.2,1.5,1.7,1.3,1.5,1.3,1.3,"2300 TALBOT RD S
RENTON
(47.4582821, -122.2115215)"
JOHN HAY ELEMENTARY SCHOOL,"201 GARFIELD ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,505,87.1,3.6,2.2,1.2,0.2,0.2,1.2,1.2,1.6,1.6,1.6,3,"201 GARFIELD ST
SEATTLE
(47.6328507, -122.351958)"
NORTHSHORE JUNIOR HIGH,"12101 NE 160 ST, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,7-9,732,93.9,5.5,0.5,4.9,0,0,2.7,2.7,3,2.9,3.7,3.7,"12101 NE 160 ST
BOTHELL
(47.742647, -122.1791819)"
LAKELAND ELEMENTARY SCHOOL,"35827 32ND AV S, AUBURN, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,410,87.1,10.7,0.7,9.5,0,0.5,9.3,9.3,10,9.8,8.5,10,"35827 32ND AV S
AUBURN
(47.2804253, -122.293544)"
DUNLAP ELEMENTARY SCHOOL,"4525 S CLOVERDALE ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,294,74.1,2.7,2.7,0,0.3,0,0.3,0.3,0.7,0.7,0.7,3.1,"4525 S CLOVERDALE ST
SEATTLE
(47.524971, -122.274738)"
NEW START,"614 SW 120TH ST, SEATTLE, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,9-12,101,99,0,0,0,0,0,0,0,0,0,0,0,"614 SW 120TH ST
SEATTLE
(47.4965645, -122.3426604)"
GREEN LAKE ELEMENTARY SCHOOL,"2400 N 65 ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,424,85.8,6.1,2.4,4.2,0.2,0,1.2,1.2,2.1,2.8,4,5.2,"2400 N 65 ST
SEATTLE
(47.6763307, -122.3285915)"
JUANITA HIGH,"10601 NE 132ND, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,9-12,1518,82,6.7,1.1,5.5,0.5,0.1,3.8,3.4,2.8,3.1,3.6,4.2,"10601 NE 132ND
KIRKLAND
(47.715004, -122.199737)"
PARK ORCHARD ELEMENTARY SCHOOL,"11010 SE 232ND ST, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,522,93.3,1.1,0.2,1,0,0,0.8,0.8,1,1.1,0.8,1,"11010 SE 232ND ST
KENT
(47.3952475, -122.1930121)"
BOTHELL HIGH SCHOOL,"9130 NE 180 ST, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,10-12,1722,90.8,3.3,0.4,2.7,0.1,0.2,2.3,2.3,1.9,1.7,2.1,2.1,"9130 NE 180 ST
BOTHELL
(47.7602819, -122.220219)"
LAKE FOREST PARK ELEMENTARY,"18500 37TH AVENUE NE, LAKE FOREST PARK, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,K -6,540,92.8,6.9,1.1,5.9,0,0,3.1,2.8,3.3,4.1,3.5,5,"18500 37TH AVENUE NE
LAKE FOREST PARK
(47.7625606, -122.2891862)"
CARNATION ELEMENTARY SCHOOL,"4950 TOLT AVE, CARNATION, WA",2016-17,RIVERVIEW SCHOOL DISTRICT,Y,PK-5,369,86.7,8.9,0.8,7.6,0.5,0,4.6,4.6,5.4,6.5,8.4,7,"4950 TOLT AVE
CARNATION
(47.6517826, -121.9112902)"
HORIZON ELEMENTARY SCHOOL,"27641 144TH AVE SE, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,473,89.9,6.3,0.6,5.7,0,0,4.4,4.4,5.7,4.7,2.5,5.7,"27641 144TH AVE SE
KENT
(47.3538697, -122.1515361)"
B F DAY ELEMENTARY SCHOOL,"3921 LINDEN AV N, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,293,87,8.2,2.4,6.1,0.3,0,3.1,2.7,2.4,4.1,6.5,5.5,"3921 LINDEN AV N
SEATTLE
(47.6550311, -122.3491539)"
GIBSON EK HIGH SCHOOL,"379 1ST PL SE, ISSAQUAH, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,9-12,112,89.3,8.9,0,8.9,0,0,2.7,1.8,2.7,4.5,4.5,3.6,"379 1ST PL SE
ISSAQUAH
(47.527161, -122.034788)"
REDMOND HIGH,"17272 NE 104TH, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,9-12,1928,88.5,6.6,1.2,5.2,0.3,0.1,3.4,2.9,2.8,3,3.3,3.5,"17272 NE 104TH
REDMOND
(47.694733, -122.108122)"
RUSH ELEMENTARY,"6101 152ND AVE NE, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,581,92.9,5.2,2.4,2.2,0.5,0,1.7,2.2,2.4,2.2,2.6,3.6,"6101 152ND AVE NE
REDMOND
(47.6619846, -122.1383094)"
EATON ARROWSMITH ACADEMY,"17946 65TH ST, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K-8,24,95.8,4.2,0,4.2,0,0,4.2,4.2,4.2,4.2,4.2,4.2,"17946 65TH ST
REDMOND
(47.664352, -122.101288)"
ENUMCLAW MIDDLE SCHOOL,"550 SEMANSKI STREET, ENUMCLAW, WA",2016-17,ENUMCLAW SCHOOL DISTRICT,Y,6-8,453,89.6,6.4,0.9,5.5,0,0,2.9,1.3,3.1,3.1,3.8,4.9,"550 SEMANSKI STREET
ENUMCLAW
(47.1870583, -122.0081293)"
SUMMIT CLASSICAL CHRISTIAN SCHOOL,"1556 BOALCH AVE NW, NORTH BEND, WA",2016-17,SNOQUALMIE VALLEY SCHOOL DISTRICT,Y,K-4,75,76,22.7,6.7,16,0,0,22.7,22.7,22.7,20,18.7,21.3,"1556 BOALCH AVE NW
NORTH BEND
(47.5072215, -121.7962538)"
PACIFIC LEARNING CENTER NW,"14550 WESTMINSTER WAY, SHORELINE, WA",2016-17,EDMONDS SCHOOL DISTRICT,Y,K-12,31,96.8,3.2,0,3.2,0,0,0,0,0,0,0,0,"14550 WESTMINSTER WAY
SHORELINE
(47.735345, -122.354146)"
LAKE WASHINGTON GIRLS MIDDLE SCHOOL,"810 18TH AVE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-8,109,91.7,1.8,0,1.8,0,0,1.8,1.8,1.8,1.8,1.8,1.8,"810 18TH AVE
SEATTLE
(47.609645, -122.308532)"
MERCER MIDDLE SCHOOL,"1600 S COLUMBIAN WY, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-8,1185,84.8,6.6,4,2.6,0.3,0.1,1.8,1.8,1.4,1.3,1.7,5.5,"1600 S COLUMBIAN WY
SEATTLE
(47.5640958, -122.3120601)"
THOREAU ELEMENTARY,"8224 NE 138TH, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,428,89,7.7,2.3,4.9,0.2,0.2,4.4,4.4,4.7,5.4,6.1,5.6,"8224 NE 138TH
KIRKLAND
(47.7251308, -122.2303274)"
FUTURES SCHOOL,"10601 NE 132ND, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,9-12,47,70.2,12.8,2.1,6.4,4.3,0,6.4,6.4,6.4,4.3,4.3,10.6,"10601 NE 132ND
KIRKLAND
(47.715004, -122.199737)"
TYEE MIDDLE SCHOOL,"11650 SE 60TH, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,6-8,1003,90.4,6.6,2.8,3.6,0.3,0,2.2,2.2,1.4,1.7,2.3,4.9,"11650 SE 60TH
BELLEVUE
(47.5501672, -122.182895)"
HOLY FAMILY SCHOOL,"505 17TH ST SE, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,P-8,119,97.5,2.5,0,1.7,0.8,0,1.7,1.7,1.7,1.7,1.7,2.5,"505 17TH ST SE
AUBURN
(47.294004, -122.223101)"
ROCK CREEK ELEMENTARY,"25700 MAPLE VALLEY HWY SE, MAPLE VALLEY, WA",2016-17,TAHOMA SCHOOL DISTRICT,Y,PK-5,1001,93.3,6,0.6,5.1,0.4,0,4.2,4.4,4.5,4.5,4,5.2,"25700 MAPLE VALLEY HWY SE
MAPLE VALLEY
(47.4066717, -122.0385783)"
CHESTNUT HILL ACADEMY SOUTH CAMPUS,"13633 SE 26TH ST, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K-8,245,89,3.7,0,3.7,0,0,2.4,2.4,2,1.6,2,2.9,"13633 SE 26TH ST
BELLEVUE
(47.5869388, -122.1571933)"
HAZELWOOD ELEMENTARY SCHOOL,"11815 SE 304TH ST, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,PK-5,557,88.7,9.7,2.9,7.4,0.2,0,7.4,7.4,8.1,7.9,6.8,8.4,"11815 SE 304TH ST
AUBURN
(47.329011, -122.183658)"
CLEVELAND HIGH SCHOOL,"5511 15 AVE S, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,858,85.3,11.8,10.1,1.7,0.1,0.1,1,1,1.5,1.2,1.9,10.1,"5511 15 AVE S
SEATTLE
(47.5523282, -122.3142179)"
SEATTLE LUTHERAN HIGH SCHOOL,"4100 SW GENESEE ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,110,99.1,0.9,0,0.9,0,0,0.9,0.9,0.9,0.9,0.9,0.9,"4100 SW GENESEE ST
SEATTLE
(47.5649137, -122.3844868)"
MADRONA K-8 SCHOOL,"1121 33 AV, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-8,294,83.3,4.1,2.4,2.7,0,0,3.1,3.1,2.4,2,3.4,3.7,"1121 33 AV
SEATTLE
(47.612342, -122.290859)"
ST. LOUISE SCHOOL,"133 156TH AVE SE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-8,385,95.8,4.2,0.5,3.6,0,0,2.3,2.3,2.6,2.9,2.6,4.2,"133 156TH AVE SE
BELLEVUE
(47.608923, -122.1339151)"
CASCADE MIDDLE SCHOOL,"1015 24TH ST NE, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,6-8,723,89.2,4.8,1,3.6,0.1,0.3,2.4,2.2,2.4,2.1,1.4,2.8,"1015 24TH ST NE
AUBURN
(47.3291386, -122.2157768)"
MAPLEWOOD HEIGHTS ELEMENTARY SCHOOL,"13430 144TH AVE SE, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,K -5,725,97.5,1.9,0.7,1.2,0,0.1,1.2,1.2,1.1,1.5,1.7,1.4,"13430 144TH AVE SE
RENTON
(47.4817032, -122.1482071)"
RENTON PARK ELEMENTARY SCHOOL,"16828 128TH AVE SE, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,K -5,469,93.4,4.5,0.9,2.3,1.3,0.2,3.6,3.8,3.6,3.4,3.2,3.8,"16828 128TH AVE SE
RENTON
(47.451275, -122.1684849)"
SYNERGY LEARNING ACADEMY,"1555 NW SAMMAMISH RD, ISSAQUAH, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,PK-8,35,94.3,5.7,0,0,0,5.7,0,0,0,0,0,5.7,"1555 NW SAMMAMISH RD
ISSAQUAH
(47.55165, -122.060703)"
DICKINSON ELEMENTARY,"7040 - 208TH NE, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,505,89.5,3.2,0.8,2.6,0,0,2.2,2.2,2.6,1.8,1.8,2.4,"7040 - 208TH NE
REDMOND
(47.6675209, -122.0609559)"
NAUTILUS K-8 SCHOOL,"1000 S 289TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,K -8,558,89.4,5.9,1.3,4.5,0.2,0,3.9,3.9,4.3,4.3,4.3,5.4,"1000 S 289TH ST
FEDERAL WAY
(47.342512, -122.322628)"
YELLOW WOOD ACADEMY,"9655 SE 36TH ST, MERCER ISLAND, WA",2016-17,MERCER ISLAND SCHOOL DISTRICT,Y,K-12,58,50,0,0,0,0,0,50,50,50,50,50,50,"9655 SE 36TH ST
MERCER ISLAND
(47.576752, -122.209378)"
JENKINS CREEK ELEMENTARY,"26915 186TH AVE SE, COVINGTON, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,424,83.3,8.5,0.7,7.5,0.5,0,6.4,6.1,5.9,6.1,4.7,7.3,"26915 186TH AVE SE
COVINGTON
(47.3604257, -122.0938865)"
BRIGADOON ELEMENTARY SCHOOL,"3601 SW 336TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,399,83,2,0.3,2,1.5,0,0.8,0.8,1,1.3,1.3,1.3,"3601 SW 336TH ST
FEDERAL WAY
(47.2997426, -122.3782964)"
TIMBERCREST JUNIOR HIGH,"19115 215 WY NE, WOODINVILLE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,7-9,750,92.8,7.1,0.7,6.7,0.1,0,4.3,4.3,2.7,2.7,3.6,3.9,"19115 215 WY NE
WOODINVILLE
(47.7666983, -122.0508363)"
GLENRIDGE ELEMENTARY,"19405 120TH AVE SE, RENTON, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,462,90,4.8,2.6,2.2,0.4,0,3.9,3.9,3.9,3.5,2.4,3.7,"19405 120TH AVE SE
RENTON
(47.427926, -122.1826057)"
KELLER ELEMENTARY,"13820 108TH NE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,389,92,5.7,1.8,3.9,0,0,2.3,2.8,3.1,3.1,3.6,4.1,"13820 108TH NE
KIRKLAND
(47.7252179, -122.195725)"
PHANTOM LAKE ELEMENTARY,"1050  160TH AVENUE SE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,PK-5,312,84,5.4,2.2,3.2,0,0,1.3,1.3,1.3,1.9,2.6,3.8,"1050 160TH AVENUE SE
BELLEVUE
(47.6007853, -122.1250819)"
CREATIVE MONTESSORI,"14944 JUANITA DR NE, KENMORE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K,11,36.4,9.1,0,9.1,0,0,9.1,0,9.1,0,0,9.1,"14944 JUANITA DR NE
KENMORE
(47.736709, -122.248624)"
NATHAN HALE HIGH SCHOOL,"10750 30 AV NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,1181,72.7,15.1,11.1,7.6,0.3,0,4.7,4.5,4.1,4.3,6.4,13,"10750 30 AV NE
SEATTLE
(47.7075329, -122.2956588)"
CASCADE VISTA BAPTIST SCHOOL,"11517 SE 208TH ST, KENT, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,N,PK-12,0,,,,,,,,,,,,,"11517 SE 208TH ST
KENT
(47.4153016, -122.1874515)"
CREEKSIDE ELEMENTARY,"20777 SE 16TH ST, SAMMAMISH, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,K -5,718,96.2,3.1,0.1,2.9,0,0,2.1,2.1,2.2,2.2,2.4,2.4,"20777 SE 16TH ST
SAMMAMISH
(47.5945928, -122.0637485)"
WASHINGTON MIDDLE SCHOOL,"2101 S JACKSON ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-8,1095,81.1,6.7,4,3.3,0,0,0.9,0.9,0.8,1,2.9,4.8,"2101 S JACKSON ST
SEATTLE
(47.5982164, -122.3041373)"
NORTH SEATTLE FRENCH SCHOOL,"6615 DAYTON AVE N, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K,46,97.8,2.2,0,2.2,0,0,2.2,2.2,2.2,2.2,2.2,2.2,"6615 DAYTON AVE N
SEATTLE
(47.6773733, -122.3528662)"
CHRIST THE KING SCHOOL,"415 N 117TH ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,179,99.4,0.6,0,0,0.6,0,0,0,0.6,0,0,0.6,"415 N 117TH ST
SEATTLE
(47.7144015, -122.3532133)"
HIGHLAND PARK ELEMENTARY SCHOOL,"1012 SW TRENTON ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,360,94.2,2.8,1.7,0.8,0.3,0,1.1,1.1,1.4,1.9,1.4,1.7,"1012 SW TRENTON ST
SEATTLE
(47.525611, -122.348655)"
ODLE MIDDLE SCHOOL,"14401 NE 8TH STREET, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,6-8,969,76.2,6,2,4.1,0.1,0,2.4,2.4,2.1,1.7,1.7,4.4,"14401 NE 8TH STREET
BELLEVUE
(47.6153448, -122.1493222)"
ACADEMY FOR PRECISION LEARNING,"5031 UNIVERSITY WAY NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K-9,120,84.2,15.8,6.7,7.5,1.7,0,14.2,14.2,15,15,14.2,15.8,"5031 UNIVERSITY WAY NE
SEATTLE
(47.665772, -122.313587)"
INGLEMOOR HIGH SCHOOL,"15500 SIMONDS RD NE, KENMORE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,10-12,1391,88.1,5.4,1.1,4,0.3,0.2,2.7,2.7,2.1,2.1,2.7,3.4,"15500 SIMONDS RD NE
KENMORE
(47.7410271, -122.2244197)"
SEATTLE AREA GERMAN AMERICAN SCHOOL,"5031 UNIVERSITY WAY NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-2,41,87.8,7.3,0,4.9,2.4,0,0,0,0,0,7.3,4.9,"5031 UNIVERSITY WAY NE
SEATTLE
(47.665772, -122.313587)"
SHERWOOD FOREST ELEMENTARY,"16411 NE 24TH STREET, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K -5,432,91.7,6,1.2,4.6,0.5,0,1.9,1.9,3.5,2.3,2.3,5.3,"16411 NE 24TH STREET
BELLEVUE
(47.6304354, -122.1201752)"
KOKANEE ELEMENTARY,"23710 57 AV SE, WOODINVILLE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -6,768,91.7,4.4,0.4,3.9,0.1,0,2.7,2.7,3.5,3.1,3.4,3.6,"23710 57 AV SE
WOODINVILLE
(47.782003, -122.159494)"
CAMPBELL HILL ELEMENTARY SCHOOL,"6418 S 124TH ST, SEATTLE, WA",2016-17,RENTON SCHOOL DISTRICT,Y,K -5,487,95.1,2.1,1,0.8,0.2,0,1.2,1.2,1.2,1.2,1.4,1.6,"6418 S 124TH ST
SEATTLE
(47.492486, -122.253072)"
FRANKLIN HIGH SCHOOL,"3013 S MT BAKER BV, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,1273,75,10.4,9.3,2.4,0,0.1,1.2,1.2,1.6,1.5,2.5,9.5,"3013 S MT BAKER BV
SEATTLE
(47.575869, -122.295506)"
KINGS SCHOOLS,"19303 FREMONT AVE N, SEATTLE, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,P-12,1145,62.2,3.8,0.1,3.4,0.3,0,2.4,2.4,2.6,2.8,2.7,3.5,"19303 FREMONT AVE N
SEATTLE
(47.7684545, -122.3528379)"
KAPKA COOPERATIVE SCHOOL,"510 N 49TH STREET, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K-3,54,64.8,35.2,0,33.3,1.9,0,20.4,20.4,24.1,24.1,29.6,29.6,"510 N 49TH STREET
SEATTLE
(47.664327, -122.3521778)"
HAMLIN ROBINSON SCHOOL,"1700 E UNION ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,1-8,253,93.7,1.2,0,1.2,0,0,2.4,2.4,2,2,2,2.8,"1700 E UNION ST
SEATTLE
(47.6131379, -122.3094749)"
PERKINS SCHOOL,"9005 ROOSEVELT WAY NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K-5,87,95.4,4.6,0,4.6,0,0,1.1,1.1,3.4,1.1,4.6,3.4,"9005 ROOSEVELT WAY NE
SEATTLE
(47.694227, -122.3180596)"
AKI KUROSE MIDDLE SCHOOL,"3928 S GRAHAM ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-8,733,81.7,5.7,5.6,1.2,0,0.1,1.1,1.1,0.8,1,1.6,5.9,"3928 S GRAHAM ST
SEATTLE
(47.5462536, -122.2824712)"
HILLSIDE STUDENT COMMUNITY SCHOOL,"5027 159TH PL SE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,5-12,40,95,5,0,5,0,0,2.5,0,2.5,5,5,5,"5027 159TH PL SE
BELLEVUE
(47.556977, -122.1264437)"
BRIARWOOD ELEMENTARY,"17020 SE 134TH ST, RENTON, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,K -5,696,93.8,5.5,1.7,3.9,0,0,2.4,2.3,2.7,3.4,3.4,4.2,"17020 SE 134TH ST
RENTON
(47.48341, -122.114097)"
MERIDIAN PARK ELEMENTARY SCHOOL,"17077 MERIDIAN AVENUE N, SHORELINE, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,K -6,610,93.4,5.2,0.8,4.4,0,0,2.1,1.6,3.1,3.1,3.8,4.1,"17077 MERIDIAN AVENUE N
SHORELINE
(47.7548485, -122.3368952)"
CHRISTIAN FAITH SCHOOL,"33645 20TH AVE S, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,P-12,269,84.4,15.6,0,15.6,0,0,10.4,9.3,11.2,11.2,10.4,9.7,"33645 20TH AVE S
FEDERAL WAY
(47.298869, -122.309202)"
SEATTLE HEBREW ACADEMY,"1617 INTERLAKEN DR E, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,168,89.9,10.1,1.8,8.9,0,0,7.7,3.6,4.8,5.4,8.3,7.1,"1617 INTERLAKEN DR E
SEATTLE
(47.6342969, -122.308325)"
OVERLAKE SCHOOL,"20301 NE 108TH ST, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,5-12,532,96.8,3,0,3,0,0,1.7,1.7,2.3,0.2,0.2,2.4,"20301 NE 108TH ST
REDMOND
(47.6950679, -122.0738071)"
WILDWOOD ELEMENTARY SCHOOL,"2405 S 300TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,564,98.9,1.1,0,0.7,0,0.4,0.9,0.9,0.7,0.9,0.5,0.9,"2405 S 300TH ST
FEDERAL WAY
(47.3328386, -122.3013496)"
INTERNATIONAL COMMUNITY SCHOOL,"11133 NE 65TH ST, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,7-12,439,83.4,5.9,3.2,3,0,0,0.9,1.1,1.6,1.1,2.3,2.7,"11133 NE 65TH ST
KIRKLAND
(47.6646823, -122.1921973)"
SHORECREST HIGH SCHOOL,"15343 25TH AVENUE NE, SHORELINE, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,9-12,1412,88.2,7.3,1.3,6,0.1,0,3.2,2.5,3.7,3.1,4.6,3.5,"15343 25TH AVENUE NE
SHORELINE
(47.7419007, -122.3026395)"
WASHINGTON NETWORK FOR INNOVATIVE CAREERS,"11605 132ND AVE NE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,9-12,403,0.7,0.2,0,0.2,0,0,0.2,0.2,0.2,0.2,0.2,0.2,"PO BOX 97039
REDMOND
(47.70451, -122.1672)"
SOLVE FOR X SCHOOL,"100 W HARRISON, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-8,7,100,0,0,0,0,0,0,0,0,0,0,0,"100 W HARRISON
SEATTLE
(47.623019, -122.358371)"
CASCADE MIDDLE SCHOOL,"11212 10TH AVE SW, SEATTLE, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,7-8,551,89.1,5.8,4.5,1.3,0,0,0.2,0,0.2,0.4,0.7,4.4,"11212 10TH AVE SW
SEATTLE
(47.5020725, -122.3461456)"
FIRST PLACE SCHOLARS SCHOOL,"172 20TH AVE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K-5,11,90.9,0,0,0,0,0,0,0,0,0,0,0,"172 20TH AVE
SEATTLE
(47.603296, -122.306136)"
MERIDIAN SCHOOL,"4649 SUNNYSIDE AVE N, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K-5,194,93.3,6.7,0,6.7,0,0,1,1,3.6,2.6,5.7,6.7,"4649 SUNNYSIDE AVE N
SEATTLE
(47.664099, -122.3311221)"
CHESTNUT MONTESSORI SCHOOL,"10723 NE 38TH PL, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,N,K-3,0,,,,,,,,,,,,,"10723 NE 38TH PL
BELLEVUE
(47.6424494, -122.1967734)"
GLENDALE LUTHERAN SCHOOL,"13455 2ND AVE SW, BURIEN, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,P-8,55,76.4,23.6,0,21.8,1.8,0,21.8,21.8,23.6,21.8,21.8,21.8,"13455 2ND AVE SW
BURIEN
(47.4818525, -122.3370733)"
